Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Estonia,2002,57 TWh,6.93 TWh,33.31 TWh,17.26 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2002,246 TWh,42.46 TWh,76.59 TWh,126.92 TWh,0 TWh,0 TWh,60 TWh,31 TWh
France,2002,"1,698 TWh",435.94 TWh,148.61 TWh,"1,112.98 TWh",0 TWh,1 TWh,192 TWh,176 TWh
Germany,2002,"3,408 TWh",873.13 TWh,997.15 TWh,"1,537.78 TWh",1 TWh,46 TWh,142 TWh,69 TWh
Greece,2002,366 TWh,20.81 TWh,104.37 TWh,240.72 TWh,0 TWh,2 TWh,10 TWh,8 TWh
Hong Kong,2002,243 TWh,26.98 TWh,61.99 TWh,154.47 TWh,0 TWh,0 TWh,,
Hungary,2002,241 TWh,125.73 TWh,41.25 TWh,74.15 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Iceland,2002,,,1.19 TWh,9.37 TWh,0 TWh,0 TWh,24 TWh,20 TWh
India,2002,"3,590 TWh",265.54 TWh,"2,012.79 TWh","1,311.63 TWh",0 TWh,6 TWh,222 TWh,200 TWh
Indonesia,2002,"1,233 TWh",371.03 TWh,200.46 TWh,661.41 TWh,0 TWh,0 TWh,47 TWh,29 TWh
Iran,2002,"1,603 TWh",782.20 TWh,14.08 TWh,806.61 TWh,0 TWh,0 TWh,23 TWh,23 TWh
Iraq,2002,,22.42 TWh,,306.87 TWh,0 TWh,0 TWh,13 TWh,13 TWh
Ireland,2002,177 TWh,42.87 TWh,30.63 TWh,103.80 TWh,0 TWh,1 TWh,4 TWh,3 TWh
Israel,2002,232 TWh,0.09 TWh,88.76 TWh,142.73 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2002,"1,942 TWh",676.03 TWh,159.68 TWh,"1,106.43 TWh",0 TWh,4 TWh,141 TWh,115 TWh
Japan,2002,"5,021 TWh",760.46 TWh,"1,207.91 TWh","3,052.66 TWh",2 TWh,1 TWh,291 TWh,235 TWh
Kazakhstan,2002,398 TWh,41.08 TWh,262.75 TWh,94.17 TWh,0 TWh,0 TWh,26 TWh,26 TWh
Kuwait,2002,227 TWh,82.74 TWh,0.00 TWh,144.08 TWh,0 TWh,0 TWh,,
Latvia,2002,34 TWh,15.09 TWh,1.15 TWh,17.53 TWh,0 TWh,0 TWh,7 TWh,7 TWh
Lithuania,2002,57 TWh,25.24 TWh,1.57 TWh,29.93 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Luxembourg,2002,43 TWh,12.41 TWh,0.86 TWh,29.87 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Malaysia,2002,642 TWh,280.89 TWh,42.33 TWh,318.86 TWh,0 TWh,0 TWh,17 TWh,16 TWh
Mexico,2002,"1,602 TWh",410.69 TWh,140.11 TWh,"1,051.18 TWh",0 TWh,0 TWh,91 TWh,73 TWh
Morocco,2002,127 TWh,0.56 TWh,39.47 TWh,87.04 TWh,0 TWh,1 TWh,3 TWh,2 TWh
Netherlands,2002,"1,023 TWh",413.97 TWh,96.67 TWh,512.05 TWh,0 TWh,3 TWh,12 TWh,0 TWh
New Zealand,2002,153 TWh,59.18 TWh,15.92 TWh,77.48 TWh,0 TWh,0 TWh,83 TWh,73 TWh
North Macedonia,2002,26 TWh,0.79 TWh,14.94 TWh,10.42 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Norway,2002,168 TWh,41.90 TWh,8.92 TWh,116.79 TWh,0 TWh,0 TWh,379 TWh,378 TWh
Oman,2002,133 TWh,88.28 TWh,0.00 TWh,44.71 TWh,0 TWh,0 TWh,,
Pakistan,2002,446 TWh,205.49 TWh,27.45 TWh,213.20 TWh,0 TWh,0 TWh,63 TWh,60 TWh
Peru,2002,96 TWh,4.25 TWh,9.10 TWh,82.80 TWh,,0 TWh,53 TWh,53 TWh
Philippines,2002,253 TWh,16.87 TWh,49.16 TWh,186.93 TWh,0 TWh,0 TWh,49 TWh,21 TWh
Poland,2002,991 TWh,117.62 TWh,634.17 TWh,239.60 TWh,0 TWh,0 TWh,8 TWh,7 TWh
Portugal,2002,267 TWh,31.32 TWh,40.70 TWh,194.59 TWh,0 TWh,1 TWh,29 TWh,23 TWh
Qatar,2002,,114.54 TWh,,27.49 TWh,0 TWh,0 TWh,,
Romania,2002,379 TWh,158.50 TWh,95.27 TWh,125.25 TWh,0 TWh,0 TWh,47 TWh,47 TWh
Russia,2002,"6,428 TWh","3,766.75 TWh","1,204.94 TWh","1,456.21 TWh",0 TWh,0 TWh,474 TWh,473 TWh
Saudi Arabia,2002,"1,481 TWh",538.65 TWh,0.14 TWh,942.59 TWh,0 TWh,0 TWh,,
Singapore,2002,481 TWh,47.08 TWh,0.08 TWh,433.58 TWh,0 TWh,0 TWh,,
Slovakia,2002,160 TWh,68.24 TWh,49.82 TWh,42.19 TWh,0 TWh,0 TWh,16 TWh,15 TWh
